wl,S001,S002
707.687235,12092.571429,12092.571429
708.126822,12160.714286,12160.714286
708.566388,12158.285714,12158.285714
709.005935,12077.285714,12077.285714
709.445461,11941.571429,11941.571429
709.884966,12068.857143,12068.857143
710.324451,11971.857143,11971.857143
710.763916,11827.000000,11827.000000
711.203360,11738.142857,11738.142857
711.642784,11592.285714,11592.285714
712.082187,11559.142857,11559.142857
712.521570,11445.857143,11445.857143
712.960932,11419.000000,11419.000000
713.400274,11510.285714,11510.285714
713.839596,11417.000000,11417.000000
714.278897,11333.857143,11333.857143
714.718177,11337.428571,11337.428571
715.157437,11260.857143,11260.857143
715.596676,11250.571429,11250.571429
716.035895,11174.000000,11174.000000
716.475094,10988.857143,10988.857143
716.914272,11115.428571,11115.428571
717.353429,11127.142857,11127.142857
717.792566,11019.571429,11019.571429
718.231682,10957.857143,10957.857143
718.670778,10842.714286,10842.714286
719.109853,10558.857143,10558.857143
719.548907,10413.714286,10413.714286
719.987941,10205.428571,10205.428571
720.426954,10100.000000,10100.000000
720.865947,10068.142857,10068.142857
721.304919,9907.000000,9907.000000
721.743870,9777.571429,9777.571429
722.182801,9893.428571,9893.428571
722.621711,9928.714286,9928.714286
723.060600,9959.428571,9959.428571
723.499469,9855.714286,9855.714286
723.938317,9769.428571,9769.428571
724.377145,9622.571429,9622.571429
724.815951,9540.714286,9540.714286
725.254737,9407.285714,9407.285714
725.693502,9312.571429,9312.571429
726.132247,9315.714286,9315.714286
726.570971,9187.428571,9187.428571
727.009674,9132.000000,9132.000000
727.448356,9291.000000,9291.000000
727.887018,9452.428571,9452.428571
728.325658,9555.000000,9555.000000
728.764278,9595.285714,9595.285714
729.202877,9530.714286,9530.714286
729.641456,9774.142857,9774.142857
